STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,indic_he,Health indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2017,,60.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2018,,62.2,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2019,,61.7,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2020,,60.9,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2021,,60.7,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2022,,61.2,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2023,,61.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2024,,61.7,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2015,,65.3,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2016,,65.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2017,,65.1,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2018,,65.1,,,,,
