country,sex,year,employed_ths,hly_65,hly_birth,le_15_alt,le_65,le_birth,pop_total,unemp_rate,working_life_yrs,pop_15_64,pop_65p,coicop_education,coicop_hotels_rest,coicop_recreation,gov_health_exp,gov_social_exp,nace_q_va,vacancy_count,vacancy_rate,covid,statutory_retirement_age,required_service_years,healthy_share,potential_workers,span_ceiling,supply_ceiling,supply_realized,realization_ratio,vacancies_sex,jobs,demand,balance_ceiling,balance_realized
CZ,F,2011,2063.5,8.7,63.6,66.4,19.2,81.1,5339500.0,7.9,30.5,3622042.0,976668.0,519.1,6955.4,6973.1,12652.1,22333.3,6333.2,35989.25,0.9,0,64.5,35.0,0.7842170160295932,2840466.96917386,49.5,140603114.97410607,86634242.55980273,0.6161616161616161,15483.5638669391,2078983.5638669392,72764424.73534288,67838690.2387632,13869817.82445985
CZ,F,2012,2078.6,8.9,64.1,66.5,19.2,81.2,5347235.0,8.2,30.9,3586946.0,1009982.0,496.4,6860.7,6658.7,12541.7,22268.0,6566.6,38879.25,0.975,0,64.5,35.0,0.7894088669950738,2831566.977832512,49.5,140162565.40270934,87495419.61502461,0.6242424242424243,16800.284608028607,2095400.2846080286,73339009.961281,66823555.44142833,14156409.65374361
CZ,F,2013,2103.8,8.9,64.2,66.6,19.3,81.3,5351776.0,8.3,31.5,3547946.0,1044063.0,467.6,6793.1,6721.5,12096.1,22056.0,6596.2,35986.0,0.925,0,64.5,35.0,0.7896678966789669,2801699.0553505537,49.5,138684103.2398524,88253520.24354245,0.6363636363636364,15622.969272993669,2119422.9692729935,74179803.92455477,64504299.31529763,14073716.318987682
CZ,F,2014,2119.9,9.3,65.0,67.0,19.8,82.0,5350039.0,7.4,31.6,3508186.0,1073615.0,474.6,6681.7,6810.4,11934.1,21146.5,6787.2,52464.0,1.3,0,64.5,35.0,0.7926829268292683,2780879.1463414636,49.5,137653517.74390244,87875781.02439025,0.6383838383838384,22774.79493795307,2142674.794937953,74993617.82282835,62659899.92107409,12882163.201561898
CZ,F,2015,2159.1,8.6,63.7,66.7,19.4,81.6,5361348.0,6.1,32.0,3479387.0,1102381.0,474.9,6998.2,7033.2,12791.9,21867.2,6667.9,92403.25,2.175,0,64.5,35.0,0.7806372549019609,2716139.116421569,49.5,134448886.26286766,86916451.72549021,0.6464646464646465,40432.859184686786,2199532.8591846866,76983650.07146403,57465236.19140363,9932801.65402618
CZ,F,2016,2210.3,8.9,64.0,67.2,20.0,82.1,5367513.0,4.7,32.4,3447412.0,1128994.0,457.6,7307.8,7546.4,13177.3,22538.2,6869.0,124142.5,2.875,0,64.5,35.0,0.779537149817296,2687385.724725944,49.5,133025593.37393422,87071297.48112059,0.6545454545454545,54704.47332482706,2265004.473324827,79275156.56636894,53750436.80756529,7796140.914751649
CZ,F,2017,2251.0,8.5,62.4,67.1,19.8,82.0,5378133.0,3.6,32.8,3416329.0,1159177.0,443.3,7618.6,8022.7,14356.7,23935.8,7035.6,169939.25,3.8,0,64.5,35.0,0.7609756097560976,2599743.043902439,49.5,128687280.67317073,85271571.83999999,0.6626262626262626,75096.34106480301,2326096.341064803,81413371.9372681,47273908.73590264,3858199.9027318954
CZ,F,2018,2285.2,8.5,63.4,67.2,19.8,82.0,5390264.0,2.8,33.2,3390377.0,1185754.0,452.9,7669.5,8328.8,15807.2,26110.4,7158.0,254309.0,5.525,0,64.5,35.0,0.7731707317073171,2621340.265853659,49.5,129756343.15975611,87028496.82634148,0.6707070707070708,112912.02992092328,2398112.029920923,83933921.0472323,45822422.11252381,3094575.77910918
CZ,F,2019,2288.1,8.2,62.6,67.4,20.1,82.2,5405606.0,2.4,33.2,3370502.0,1209754.0,489.6,7923.8,9166.4,17055.6,28239.3,7477.0,287517.0,6.175000000000001,0,64.5,35.0,0.7615571776155717,2566829.99026764,49.5,127058084.51824819,85218755.67688565,0.6707070707070708,127716.49149679672,2415816.4914967967,84553577.20238788,42504507.3158603,665178.4744977653
CZ,F,2020,2244.9,7.9,62.5,66.6,19.1,81.3,5421943.0,3.0,32.7,3354390.0,1233653.0,447.3,4670.3,7722.3,20171.4,30918.4,7739.1,243629.0,5.35,1,64.5,35.0,0.7687576875768758,2578713.0996309966,49.5,127646298.43173432,84323918.3579336,0.6606060606060606,107515.92170083942,2352415.9217008394,82334557.25952938,45311741.17220494,1989361.0984042138
