country,sex,year,pop_total,le_birth,hly_birth,poor_pp,poor_py
PL,F,2021,19131216.0,79.6,64.6,15.0,286968240.0
PL,F,2022,19043758.0,81.1,64.1,17.0,323743886.0
PL,F,2023,18980357.0,82.1,64.4,17.69999999999999,335952318.8999998
PL,F,2024,18914999.0,82.2,66.2,16.0,302639984.0
PL,M,2005,18470253.0,70.8,61.2,9.599999999999994,177314428.7999999
PL,M,2006,18453855.0,70.9,58.4,12.500000000000007,230673187.50000012
PL,M,2007,18426775.0,71.0,57.6,13.399999999999999,246918784.99999997
PL,M,2008,18411501.0,71.3,58.6,12.699999999999996,233826062.69999993
PL,M,2009,18414926.0,71.5,58.3,13.200000000000003,243077023.20000005
PL,M,2010,18412237.0,72.2,58.5,13.700000000000003,252247646.90000007
PL,M,2011,18429700.0,72.5,59.1,13.399999999999999,246957979.99999997
PL,M,2012,18427296.0,72.6,59.1,13.499999999999993,248768495.99999988
PL,M,2013,18426093.0,73.0,59.2,13.799999999999997,254280083.39999995
PL,M,2014,18403964.0,73.7,59.8,13.900000000000006,255815099.6000001
PL,M,2015,18397163.0,73.5,60.1,13.399999999999999,246521984.2
PL,M,2016,18377040.0,73.9,61.3,12.600000000000009,231550704.00000015
PL,M,2017,18377837.0,73.9,60.6,13.300000000000004,244425232.10000008
PL,M,2018,18380299.0,73.7,60.5,13.200000000000003,242619946.80000004
PL,M,2019,18380376.0,74.1,60.9,13.199999999999996,242620963.19999993
PL,M,2020,18373381.0,72.5,60.3,12.200000000000003,224155248.20000005
PL,M,2021,17942141.0,71.6,60.7,10.899999999999991,195569336.89999986
PL,M,2022,17846003.0,73.4,60.8,12.600000000000009,224859637.80000016
PL,M,2023,17773379.0,74.6,61.7,12.899999999999991,229276589.09999985
PL,M,2024,17705971.0,74.8,63.2,11.599999999999994,205389263.5999999
RO,F,2007,10840507.0,76.8,62.5,14.299999999999997,155019250.09999996
RO,F,2008,10586266.0,77.5,62.9,14.600000000000001,154559483.60000002
RO,F,2009,10488417.0,77.7,61.9,15.800000000000004,165716988.60000005
RO,F,2010,10414274.0,77.7,57.5,20.200000000000003,210368334.80000004
RO,F,2011,10366110.0,78.2,57.0,21.200000000000003,219761532.00000003
RO,F,2012,10318889.0,78.1,57.6,20.499999999999993,211537224.49999994
RO,F,2013,10258594.0,78.7,58.1,20.6,211327036.4
RO,F,2014,10201259.0,78.7,59.1,19.6,199944676.4
RO,F,2015,10163573.0,78.6,59.3,19.299999999999997,196156958.89999998
RO,F,2016,10110852.0,79.1,59.0,20.099999999999994,203228125.19999993
RO,F,2017,10041869.0,79.0,58.3,20.700000000000003,207866688.30000004
RO,F,2018,9978614.0,79.2,59.6,19.6,195580834.4
RO,F,2019,9914008.0,79.5,60.6,18.9,187374751.2
RO,F,2020,9868177.0,78.3,60.5,17.799999999999997,175653550.59999996
RO,F,2021,9814072.0,76.6,58.2,18.39999999999999,180578924.79999992
RO,F,2022,9802984.0,79.2,59.3,19.900000000000006,195079381.60000005
RO,F,2023,9808880.0,80.4,58.9,21.500000000000007,210890920.00000006
RO,F,2024,9796206.0,80.3,65.9,14.399999999999991,141065366.39999992
RO,M,2007,10289996.0,69.5,60.4,9.100000000000001,93638963.60000001
RO,M,2008,10049194.0,69.7,60.1,9.600000000000001,96472262.40000002
RO,M,2009,9951873.0,69.8,59.6,10.199999999999996,101509104.59999996
RO,M,2010,9880409.0,70.0,57.2,12.799999999999997,126469235.19999997
RO,M,2011,9832949.0,70.8,57.4,13.399999999999999,131761516.59999998
RO,M,2012,9777107.0,70.9,57.6,13.300000000000004,130035523.10000004
RO,M,2013,9761480.0,71.6,58.8,12.799999999999997,124946943.99999997
RO,M,2014,9746052.0,71.3,58.9,12.399999999999999,120851044.79999998
RO,M,2015,9707074.0,71.4,59.0,12.400000000000006,120367717.60000005
RO,M,2016,9649733.0,71.7,59.8,11.900000000000006,114831822.70000005
RO,M,2017,9602080.0,71.6,59.1,12.499999999999993,120025999.99999993
RO,M,2018,9554867.0,71.7,59.2,12.5,119435837.5
RO,M,2019,9500450.0,71.9,59.9,12.000000000000007,114005400.00000007
RO,M,2020,9460661.0,70.4,59.3,11.100000000000009,105013337.10000008
RO,M,2021,9387590.0,69.2,57.3,11.900000000000006,111712321.00000006
RO,M,2022,9240114.0,71.3,58.7,12.599999999999994,116425436.39999995
RO,M,2023,9246348.0,72.6,59.4,13.199999999999996,122051793.59999996
RO,M,2024,9271370.0,72.8,64.0,8.799999999999997,81588055.99999997
