country,sex,year,pop_total,hly_birth,employed_ths,vacancies_sex,jobs,required_service_years,supply_py,demand_py,balance_py,supply_per_demand
DE,F,2012,41097953.0,57.9,17808.6,374329.44698021427,18182929.446980216,45.0,2379571478.7,818231825.1141098,1561339653.58589,2.908187393429909
DE,F,2013,41142770.0,57.0,18056.1,369297.59553765523,18425397.595537655,45.0,2345137890.0,829142891.7991945,1515994998.2008057,2.8283881019726045
DE,F,2014,41210540.0,56.5,18210.0,407078.05889821576,18617078.058898214,45.0,2328395510.0,837768512.6504196,1490626997.3495803,2.7792826715744363
DE,F,2015,41362080.0,67.5,18367.7,433361.7350902853,18801061.735090286,45.0,2791940400.0,846047778.0790628,1945892621.920937,3.29997959020595
DE,F,2016,41661561.0,67.3,18789.7,456321.56974276167,19246021.56974276,45.0,2803823055.2999997,866070970.6384243,1937752084.6615753,3.237405651909983
DE,F,2017,41824535.0,66.7,18929.4,515685.93863014306,19445085.93863014,45.0,2789696484.5,875028867.2383564,1914667617.2616436,3.188119374054995
DE,F,2018,41948786.0,66.3,19027.9,589198.9466786595,19617098.94667866,45.0,2781204511.7999997,882769452.6005397,1898435059.19946,3.150544577190436
DE,F,2019,42052522.0,67.1,19258.7,639203.3580603921,19897903.358060393,45.0,2821724226.2,895405651.1127177,1926318575.0872822,3.151336182314074
DE,F,2020,42129098.0,66.8,18881.3,489865.49456795136,19371165.494567953,45.0,2814223746.4,871702447.2555579,1942521299.144442,3.2284224453656387
DE,F,2021,42128512.0,66.5,18588.4,627905.6425342001,19216305.6425342,45.0,2801546048.0,864733753.914039,1936812294.0859609,3.23977875886003
DE,F,2022,42170339.0,61.2,19033.1,853022.9363071356,19886122.936307136,45.0,2580824746.8,894875532.1338211,1685949214.6661792,2.8840041482037746
DE,F,2023,42198796.0,63.0,19234.5,814441.0669161604,20048941.06691616,45.0,2658524148.0,902202348.0112273,1756321799.9887729,2.9467049757300305
DE,F,2024,42294114.0,62.6,19240.3,653735.3314262505,19894035.33142625,45.0,2647611536.4,895231589.9141814,1752379946.4858189,2.957459908953621
DE,M,2011,39124600.0,57.8,20337.5,454276.412276517,20791776.412276518,45.0,2261401880.0,935629938.5524433,1325771941.4475567,2.416983239654259
DE,M,2012,39229947.0,57.3,20512.0,431153.80301978573,20943153.803019784,45.0,2247875963.1,942441921.1358902,1305434041.9641097,2.3851612631903283
DE,M,2013,39380976.0,57.7,20583.9,420998.15446234477,21004898.154462345,45.0,2272282315.2000003,945220416.9508055,1327061898.2491946,2.4039708352155307
DE,M,2014,39556923.0,56.4,20697.8,462691.9411017842,21160491.941101786,45.0,2231010457.2,952222137.3495804,1278788319.8504195,2.342951680801924
DE,M,2015,39835457.0,65.3,20808.1,490939.7649097146,21299039.764909714,45.0,2601255342.1,958456789.4209372,1642798552.6790628,2.7140037723261146
DE,M,2016,40514123.0,65.3,21375.4,519117.1802572382,21894517.18025724,45.0,2645572231.9,985253273.1115757,1660318958.7884245,2.6851696960568234
DE,M,2017,40697118.0,65.1,21552.2,587137.8113698569,22139337.81136986,45.0,2649382381.7999997,996270201.5116436,1653112180.288356,2.65930103879458
DE,M,2018,40843565.0,65.1,21607.8,669085.5533213406,22276885.55332134,45.0,2658916081.5,1002459849.8994603,1656456231.6005397,2.6523915962985156
DE,M,2019,40966691.0,65.4,21806.3,723759.1419396079,22530059.141939607,45.0,2679221591.4,1013852661.3872823,1665368930.0127177,2.6426143496373014
DE,M,2020,41037613.0,64.7,21273.9,551940.2554320487,21825840.255432047,45.0,2655133561.1,982162811.4944421,1672970749.605558,2.703353792290297
DE,M,2021,41026519.0,64.7,20914.4,706476.6074658,21620876.6074658,45.0,2654415779.3,972939447.335961,1681476331.9640393,2.7282435577755098
DE,M,2022,41066785.0,60.9,21368.6,957695.0636928644,22326295.063692864,45.0,2500967206.5,1004683277.8661789,1496283928.633821,2.48930908038177
DE,M,2023,40919705.0,62.1,21581.5,913819.4330838396,22495319.43308384,45.0,2541113680.5,1012289374.4887727,1528824306.0112271,2.510264104849777
DE,M,2024,41161931.0,62.1,21568.1,732827.9185737496,22300927.91857375,45.0,2556155915.1,1003541756.3358186,1552614158.7641811,2.547134585045233
FR,F,2011,33515819.0,63.6,12149.4,92791.96924581443,12242191.969245814,43.0,2131606088.4,526414254.67757,1605191833.7224302,4.049294010295397
FR,F,2012,33671600.0,63.8,12198.9,89707.1118381427,12288607.111838143,43.0,2148248080.0,528410105.8090402,1619837974.19096,4.06549393431992
FR,F,2013,33827685.0,64.3,12252.3,77116.31595547708,12329416.315955477,43.0,2175120145.5,530164901.5860855,1644955243.9139144,4.102723773287763
FR,F,2014,34120851.0,64.2,12607.2,84155.15809350177,12691355.1580935,43.0,2190558634.2000003,545728271.7980205,1644830362.40198,4.014009805617599
FR,F,2015,34283895.0,64.6,12662.5,90151.44980352996,12752651.44980353,43.0,2214739617.0,548364012.3415518,1666375604.6584482,4.038812845399739
FR,F,2016,34391005.0,64.1,12707.2,117495.35061549603,12824695.350615496,43.0,2204463420.5,551461900.0764663,1653001520.4235337,3.9974899810745343
FR,F,2017,34495464.0,64.9,12755.2,151234.39689493156,12906434.396894932,43.0,2238755613.6000004,554976679.0664821,1683778934.5335183,4.03396340431057
FR,F,2018,34611994.0,64.5,12891.9,162173.2375704137,13054073.237570414,43.0,2232473613.0,561325149.2155278,1671148463.7844722,3.9771487454641266
FR,F,2019,34739132.0,64.6,12992.1,192244.74219326192,13184344.742193261,43.0,2244147927.2,566926823.9143102,1677221103.2856896,3.9584437224286253
FR,F,2020,34828670.0,65.3,12929.7,181821.54345518202,13111521.543455182,43.0,2274312151.0,563795426.3685728,1710516724.6314273,4.033931537275725
FR,F,2021,34946473.0,66.9,13363.2,250329.59408663257,13613529.594086632,43.0,2337919043.7000003,585381772.5457252,1752537271.154275,3.9938364215421163
FR,F,2022,35109077.0,65.2,13644.9,324366.77569880104,13969266.775698802,43.0,2289111820.4,600678471.3550484,1688433349.0449517,3.810877082436594
FR,F,2023,35188809.0,64.1,13752.6,302915.5963301442,14055515.596330144,43.0,2255602656.8999996,604387170.6421962,1651215486.2578034,3.7320492003549512
FR,F,2024,35360111.0,63.7,13872.7,256695.88999721478,14129395.889997214,43.0,2252439070.7000003,607564023.2698802,1644875047.43012,3.707327926656161
FR,M,2011,31462902.0,62.7,13414.6,102455.03075418557,13517055.030754186,43.0,1972723955.4,581233366.32243,1391490589.07757,3.394030813959952
FR,M,2012,31605383.0,62.6,13369.3,98313.8881618573,13467613.888161857,43.0,1978496975.8,579107397.1909598,1399389578.6090403,3.4164595123408406
FR,M,2013,31772665.0,63.0,13294.1,83673.4340445229,13377773.434044523,43.0,2001677895.0,575244257.6639144,1426433637.3360856,3.47970078506977
FR,M,2014,32045129.0,63.4,13501.4,90124.09190649824,13591524.0919065,43.0,2031661178.6,584435535.9519795,1447225642.6480203,3.476279338987581
FR,M,2015,32174258.0,62.6,13473.8,95927.55019647005,13569727.55019647,43.0,2014108550.8,583498284.6584482,1430610266.1415517,3.4517814426463347
FR,M,2016,32247386.0,62.6,13531.8,125119.89938450398,13656919.899384504,43.0,2018686363.6000001,587247555.6735337,1431438807.9264665,3.437538980106442
FR,M,2017,32314352.0,62.5,13679.0,162187.60310506844,13841187.603105068,43.0,2019647000.0,595171066.9335179,1424475933.066482,3.393389081236369
FR,M,2018,32414230.0,63.4,13754.2,173020.51242958632,13927220.512429586,43.0,2055062182.0,598870482.0344722,1456191699.9655278,3.4315636580026103
FR,M,2019,32551339.0,63.7,13718.8,202997.75780673808,13921797.757806739,43.0,2073520294.3000002,598637303.5856898,1474882990.7143104,3.4637338533367785
FR,M,2020,32644981.0,63.9,13633.3,191715.78987815126,13825015.78987815,43.0,2086014285.8999999,594475678.9647604,1491538606.9352393,3.508998533855336
FR,M,2021,32782095.0,65.5,13910.6,260583.9059133674,14171183.905913368,43.0,2147227222.5,609360907.9542748,1537866314.5457253,3.5237364170744008
FR,M,2022,32982626.0,63.7,14170.6,336863.724301199,14507463.724301198,43.0,2100993276.2,623820940.1449516,1477172336.0550485,3.3679428518571553
FR,M,2023,33088401.0,63.5,14259.4,314078.4036698558,14573478.403669856,43.0,2101113463.5,626659571.3578038,1474453892.1421962,3.3528785955466196
FR,M,2024,33309192.0,63.5,14490.9,268134.8600027852,14759034.860002786,43.0,2115133692.0,634638498.9801198,1480495193.0198803,3.3328165489472723
NO,F,2011,2459456.0,76.1,1174.1,32818.73141637878,1206918.7314163789,42.75,187164601.6,51595775.768050194,135568825.8319498,3.6275179278513434
NO,F,2012,2486999.0,70.4,1191.0,30759.577429654757,1221759.5774296548,42.75,175084729.60000002,52230221.935117744,122854507.66488227,3.352172805574071
NO,F,2013,2515367.0,68.6,1198.4,29770.34964479899,1228170.349644799,42.75,172554176.2,52504282.44731516,120049893.75268483,3.28647813391503
NO,F,2014,2541622.0,69.8,1208.8,27785.935425372547,1236585.9354253726,42.75,177405215.6,52864048.739434674,124541166.86056532,3.355876438341396
NO,F,2015,2566978.0,68.9,1210.3,25738.079504814305,1236038.0795048142,42.75,176864784.20000002,52840627.89883081,124024156.30116922,3.347136308422131
NO,F,2016,2588874.0,67.8,1217.1,25292.03728483848,1242392.0372848385,42.75,175525657.2,53112259.59392685,122413397.60607314,3.304804927186163
NO,F,2017,2609187.0,70.0,1216.5,28267.187745136493,1244767.1877451364,42.75,182643090.0,53213797.276104584,129429292.72389542,3.4322506445525747
NO,F,2018,2627248.0,69.1,1226.0,31987.39854680374,1257987.3985468037,42.75,181542836.79999998,53778961.28787586,127763875.51212412,3.375722261131282
NO,F,2019,2643139.0,68.1,1239.5,34078.786558091524,1273578.7865580916,42.75,179997765.89999998,54445493.12535842,125552272.77464156,3.306017735674885
NO,F,2020,2661018.0,66.7,1237.2,29600.171464762785,1266800.1714647629,42.75,177489900.6,54155707.33011861,123334193.26988138,3.2773997303381037
NO,F,2021,2672110.0,65.75,1265.5,41493.00144856648,1306993.0014485666,42.75,175691232.5,55873950.81192622,119817281.68807378,3.144421147009689
NO,F,2022,2687938.0,64.8,1294.9,50257.79620401583,1345157.7962040158,42.75,174178382.4,57505495.78772168,116672886.61227833,3.0288997601719627
NO,F,2023,2723514.0,62.9,1312.4,55577.60616077591,1367977.606160776,42.75,171309030.6,58481042.66337317,112827987.93662682,2.929308760551413
NO,F,2024,2754485.0,62.3,1320.0,48053.19433403194,1368053.194334032,42.75,171604415.5,58484274.05777987,113120141.44222012,2.9341975815663273
NO,M,2011,2460849.0,74.0,1286.4,35957.76858362121,1322357.7685836211,42.75,182102826.0,56530794.606949806,125572031.3930502,3.2213031369209264
NO,M,2012,2498871.0,71.9,1314.5,33949.17257034524,1348449.1725703452,42.75,179668824.9,57646202.127382256,122022622.77261776,3.1167504236095436
NO,M,2013,2535908.0,71.0,1321.3,32823.40035520102,1354123.400355201,42.75,180049468.0,57888775.36518484,122160692.63481516,3.110265623416252
NO,M,2014,2567434.0,72.2,1327.8,30521.314574627453,1358321.3145746274,42.75,185368734.8,58068236.198065326,127300498.60193469,3.1922570227159057
NO,M,2015,2598824.0,71.8,1334.2,28372.920495185692,1362572.9204951858,42.75,186595563.2,58249992.35116919,128345570.84883079,3.2033577287886916
NO,M,2016,2625111.0,72.0,1327.5,27586.212715161517,1355086.2127151615,42.75,189007992.0,57929935.59357315,131078056.40642685,3.2626998470367514
NO,M,2017,2649130.0,71.8,1333.1,30976.56225486351,1364076.5622548636,42.75,190207534.0,58314273.036395416,131893260.96360458,3.2617663583199716
NO,M,2018,2668371.0,71.7,1361.4,35520.10145319626,1396920.1014531963,42.75,191322200.70000002,59718334.33712414,131603866.36287588,3.2037430853302253
NO,M,2019,2685073.0,71.2,1376.2,37837.21344190848,1414037.2134419086,42.75,191177197.6,60450090.87464159,130727106.7253584,3.1625626170927323
NO,M,2020,2706562.0,70.5,1368.0,32729.578535237222,1400729.5785352371,42.75,190812621.0,59881189.48238139,130931431.51761861,3.1865202186095862
NO,M,2021,2719259.0,70.15,1392.3,45650.498551433506,1437950.4985514334,42.75,190756018.85000002,61472383.81307378,129283635.03692624,3.1031173189908174
NO,M,2022,2737332.0,69.8,1434.3,55668.20379598418,1489968.2037959842,42.75,191065773.6,63696140.71227832,127369632.88772167,2.9996444284287604
NO,M,2023,2765470.0,66.9,1440.5,61002.39383922408,1501502.393839224,42.75,185009943.00000003,64189227.33662683,120820715.6633732,2.8822584517142498
NO,M,2024,2795718.0,67.0,1447.4,52691.05566596806,1500091.055665968,42.75,187313106.0,64128892.62972013,123184213.37027988,2.920884773132523
PL,F,2011,19633018.0,63.2,6816.7,26385.954936393082,6843085.954936394,20.0,1240806737.6000001,136861719.09872788,1103945018.5012722,9.066134385648919
PL,F,2012,19636496.0,62.8,6842.4,20325.989674189383,6862725.989674189,20.0,1233171948.8,137254519.7934838,1095917429.0065162,8.984563500389335
PL,F,2013,19636442.0,62.7,6827.7,19227.805153036905,6846927.8051530365,20.0,1231204913.4,136938556.10306072,1094266357.2969394,8.99092957043733
PL,F,2014,19613892.0,62.7,6984.2,25100.070701045475,7009300.070701046,20.0,1229791028.4,140186001.41402093,1089605026.985979,8.772566561535442
PL,F,2015,19608451.0,63.2,7121.3,32084.470717515735,7153384.470717516,20.0,1239254103.2,143067689.41435033,1096186413.7856498,8.662012424139265
PL,F,2016,19590169.0,64.6,7164.7,40040.03041146026,7204740.03041146,20.0,1265524917.3999999,144094800.60822922,1121430116.7917707,8.782585576010895
PL,F,2017,19595127.0,63.5,7236.7,54768.08444660049,7291468.084446601,20.0,1244290564.5,145829361.688932,1098461202.811068,8.532510532098405
PL,F,2018,19596388.0,64.3,7280.9,68879.69953791513,7349779.699537915,20.0,1260047748.3999999,146995593.9907583,1113052154.4092417,8.572010318072662
PL,F,2019,19592436.0,64.1,7411.5,63439.12504078747,7474939.125040787,20.0,1255875147.6,149498782.50081575,1106376365.099184,8.400571072163395
PL,F,2020,19584757.0,64.3,7404.2,37090.2033550764,7441290.203355077,20.0,1259299875.1,148825804.06710154,1110474071.0328984,8.461569436790784
PL,F,2021,19131216.0,64.6,7593.0,61376.77645449713,7654376.776454497,20.0,1235876553.6,153087535.52908993,1082789018.07091,8.073005743600573
PL,F,2022,19043758.0,64.1,7690.6,63704.1289044608,7754304.128904461,20.0,1220704887.8,155086082.5780892,1065618805.2219107,7.871143996337315
PL,F,2023,18980357.0,64.4,7775.5,50026.735558935325,7825526.735558935,20.0,1222334990.8000002,156510534.71117872,1065824456.0888214,7.8099215050007444
PL,F,2024,18914999.0,66.2,7743.1,49117.89706373387,7792217.897063734,20.0,1252172933.8,155844357.94127467,1096328575.8587253,8.034765905813826
